,SKU,0
4190,SET287-KR-NP-M,216.25
3571,SET043-KR-NP-XXXL,212.0
3835,SET205-KR-DPT-S,211.0599999999995
3834,SET205-KR-DPT-M,211.0599999999995
3836,SET205-KR-DPT-XL,211.0599999999995
3599,SET062-KR-SP-L,210.60000000000036
174,BTM038-PP-L,210.5
3600,SET062-KR-SP-M,210.35000000000036
1201,J0277-SKD-M,210.0500000000029
1013,J0204-TP-L,209.4000000000001
1014,J0204-TP-M,209.4000000000001
1015,J0204-TP-XL,209.25
785,J0152-DR-L,209.0
180,BTM039-PP-L,208.5
3644,SET098-KR-PP-XXL,208.5
2243,JNE3567-KR-XXXL,208.5
2201,JNE3560-KR-XXXL,208.35000000000036
2833,JNE3722-KR-L,208.25
2834,JNE3722-KR-M,208.25
2038,JNE3501-KR-S,208.0
1079,J0225-SKD-M,208.0
1078,J0225-SKD-L,208.0
1081,J0225-SKD-XL,208.0
2039,JNE3501-KR-XL,208.0
2041,JNE3501-KR-XXL,208.0
1083,J0225-SKD-XXL,208.0
155,BTM031-NP-XXL,207.0599999999995
2170,JNE3554-KR-XXL,206.0
3574,SET044-KR-NP-S,206.0
3572,SET044-KR-NP-L,206.0
3575,SET044-KR-NP-XL,206.0
1208,J0278-SET-M,205.8099999999995
3065,JNE3790-KR-M,204.0
1145,J0242-SKD-M,204.0
4255,SET304-KR-DPT-L,204.0
1144,J0242-SKD-L,204.0
3789,SET196-KR-NP-L,203.75
3790,SET196-KR-NP-M.,203.60000000000036
4194,SET287-KR-NP-XXL,203.0
1821,JNE3405-KR-S,202.10000000000036
3933,SET232-KR-PP-XL,201.75
3643,SET098-KR-PP-XS,201.75
3932,SET232-KR-PP-S,201.75
3931,SET232-KR-PP-M,201.75
930,J0186-SET-XXXL,201.30999999999995
929,J0186-SET-XXL,201.30999999999995
4486,SET373-KR-PP-XL,200.0
3630,SET094-KR-NP-XL,199.10000000000036
4000,SET245-KR-NP-XL,199.0
1506,JNE2014-KR-178-XXL,198.75
4293,SET316-KR-DPT-L,198.5
4069,SET262-KR-NP-L,198.25
3597,SET058-KR-NP-XXL,197.75
3746,SET184-KR-PP-XXL,197.0
2517,JNE3649-TP-S,195.5
380,J0023-TP-S,195.0
3701,SET156-KR-NP-S,194.25
891,J0178-TP-S,194.1300000000001
728,J0138-KR-S,192.15999999999985
2490,JNE3642-TP-M,191.75
2491,JNE3642-TP-S,191.5
1192,J0252-SKD-L,191.5
4197,SET289-KR-NP-M,191.25
2287,JNE3576-KR-XXL,191.25
4199,SET289-KR-NP-XL,191.0
4202,SET289-KR-NP-XXXL,191.0
1732,JNE3366-KR-1053-XXL,191.0
